Lang_agent,Round,SCS-R_Private Self-consciousness,SCS-R_Public Self-consciousness,SCS-R_Social Anxiety,BIMI_Agentic Management,BIMI_Communal Management,BFI-2_Negative Emotionality,BFI-2_Extraversion,BFI-2_Agreeableness,BFI-2_Conscientiousness,BFI-2_Open-mindedness,HEXACO-100_Honesty_humility,HEXACO-100_Emotionality,HEXACO-100_Extraversion,HEXACO-100_Agreeableness,HEXACO-100_Conscientiousness,HEXACO-100_Openness to Experience,HEXACO-100_Altruism,SD3_Machiavellianism,SD3_Narcissism,SD3_Psychopathy,Political_Conservative Orientation
<SQ0LruF>,1,23,14,6,3.4,4.0,2.3333333333333335,3.5833333333333335,4.333333333333333,3.6666666666666665,4.333333333333333,5.0,3.1875,3.875,4.5,4.125,3.6875,4.75,2.5555555555555554,3.3333333333333335,2.888888888888889,5.0
<SQ0LruF>,2,15,14,7,3.1,4.0,2.8333333333333335,3.3333333333333335,4.25,3.5,3.9166666666666665,4.8125,2.875,3.9375,4.4375,4.625,4.0,4.75,2.7777777777777777,3.2222222222222223,2.7777777777777777,5.0
<yLvzAov>,1,16,14,11,4.0,4.1,3.0833333333333335,3.6666666666666665,3.6666666666666665,3.5833333333333335,3.9166666666666665,4.125,3.125,3.625,3.375,4.0,3.875,5.0,3.5555555555555554,3.4444444444444446,2.7777777777777777,3.6666666666666665
<yLvzAov>,2,16,13,11,4.1,3.1,2.8333333333333335,3.5833333333333335,3.6666666666666665,3.9166666666666665,4.0,3.6875,3.125,3.375,3.3125,3.0625,4.0,4.5,3.111111111111111,2.888888888888889,2.6666666666666665,3.6666666666666665
<aZVmWg7>,1,23,14,9,4.4,4.5,2.75,3.6666666666666665,4.166666666666667,4.166666666666667,4.083333333333333,4.625,3.4375,3.875,3.9375,4.1875,4.5,5.0,1.7777777777777777,2.888888888888889,1.2222222222222223,3.6666666666666665
<aZVmWg7>,2,20,17,10,4.5,4.3,3.3333333333333335,3.6666666666666665,4.416666666666667,4.25,4.25,4.4375,3.1875,3.6875,3.4375,4.25,4.3125,4.75,2.7777777777777777,3.4444444444444446,1.6666666666666667,3.0
<xWY2na4>,1,3,0,3,3.4,4.0,2.3333333333333335,3.3333333333333335,3.3333333333333335,3.6666666666666665,3.6666666666666665,3.375,1.75,3.375,4.25,4.125,3.0,5.0,2.3333333333333335,1.6666666666666667,1.0,2.0
<xWY2na4>,2,11,13,12,4.1,3.6,2.3333333333333335,3.1666666666666665,3.8333333333333335,3.6666666666666665,3.75,4.3125,3.3125,3.75,3.875,4.0625,3.5625,4.75,2.0,2.4444444444444446,1.1111111111111112,4.0
<23R1qYZ>,1,11,3,1,2.5,3.6,2.5,2.9166666666666665,4.333333333333333,4.333333333333333,3.1666666666666665,4.5,2.375,2.375,4.75,4.625,3.0625,4.5,2.4444444444444446,2.3333333333333335,1.0,3.3333333333333335
<23R1qYZ>,2,11,17,8,3.5,2.9,2.9166666666666665,2.5833333333333335,4.0,3.5833333333333335,3.6666666666666665,3.8125,3.0625,3.4375,3.6875,3.9375,3.5,4.5,2.4444444444444446,2.6666666666666665,2.0,4.666666666666667
<bbK3vKO>,1,15,14,9,4.6,5.2,2.5,3.5,4.333333333333333,3.6666666666666665,3.75,4.5,3.5,3.6875,3.9375,3.9375,4.0,4.75,2.0,2.3333333333333335,1.5555555555555556,3.6666666666666665
<bbK3vKO>,2,20,16,12,4.6,5.3,2.5,3.6666666666666665,4.333333333333333,3.8333333333333335,4.25,4.625,3.375,4.3125,4.1875,4.1875,4.25,5.0,2.888888888888889,2.111111111111111,1.1111111111111112,3.3333333333333335
<2qYGe5m>,1,9,0,3,4.0,4.6,2.4166666666666665,3.0833333333333335,4.25,4.25,4.083333333333333,4.0,4.25,4.8125,3.5625,4.8125,4.8125,5.0,4.111111111111111,3.0,1.6666666666666667,6.0
<2qYGe5m>,2,18,0,3,3.4,3.6,2.9166666666666665,3.25,4.25,4.0,4.0,4.9375,2.625,4.625,4.4375,4.625,4.9375,5.0,3.6666666666666665,2.5555555555555554,1.7777777777777777,3.6666666666666665
